LoanID,CustomerID,LoanType,PrincipalAmount,InterestRate,StartDate,EndDate,MonthlyInstallment,TotalPayable,Collateral,Status
51,4910,Car,41446.39,10.09,2021-09-15,2029-09-01,1679.49,28104.72,Garden,Rejected
52,2756,Business,40531.66,14.16,2023-05-20,2028-12-12,1857.91,27690.35,Affect,Defaulted
53,3144,Payday,6197.63,6.8,2021-04-11,2025-11-08,1331.29,4697.72,Agency,Pending
54,986,Business,17212.43,10.38,2022-09-15,2028-11-01,586.32,19712.02,Financial,Approved
55,3551,Education,12055.1,13.77,2023-10-09,2030-06-09,1915.41,12123.75,Wear,Closed
56,2687,Car,39769.78,8.2,2020-10-14,2028-06-23,1072.75,28669.71,Road,Closed
57,3099,Car,30133.79,8.28,2022-05-29,2027-12-06,1248.51,36714.87,Church,Pending
58,3141,Home,37587.75,4.28,2024-02-14,2026-12-15,1600.97,55291.34,Short,Approved
59,3522,Car,37997.4,14.07,2022-11-09,2030-03-14,112.52,28470.35,Two,Rejected
60,3140,Home,11350.71,14.6,2024-04-14,2028-06-05,199.97,31340.02,Friend,Defaulted
61,1512,Payday,34440.69,14.59,2024-01-18,2028-11-29,1813.25,9930.44,Soon,Rejected
62,153,Payday,40270.14,4.84,2020-11-15,2029-11-13,731.05,8058.99,White,Pending
63,2974,Payday,39711.17,8.49,2023-12-16,2030-08-28,1523.65,38106.73,Somebody,Closed
64,1377,Home,17892.91,13.89,2022-12-25,2027-07-29,152.16,3256.86,Quickly,Pending
65,1766,Home,22150.96,14.74,2022-03-15,2026-03-17,978.21,24404.0,Parent,Pending
66,3232,Education,44249.34,11.3,2024-08-07,2027-01-25,405.94,31283.29,Red,Pending
67,745,Personal,37524.23,12.18,2025-07-23,2026-12-09,923.49,58797.51,Let,Approved
68,3442,Payday,13162.75,14.48,2023-12-04,2026-12-22,1980.41,59219.87,Administration,Closed
69,1106,Personal,14880.98,11.3,2021-11-13,2030-05-16,1863.81,21113.98,Foreign,Closed
70,2019,Home,23536.05,7.98,2024-07-13,2028-07-27,1353.74,26836.4,Dream,Pending
71,3874,Home,38737.65,7.46,2021-04-19,2026-04-29,1402.91,12501.04,Season,Defaulted
72,3452,Payday,15579.78,6.59,2022-06-18,2027-04-13,407.84,33860.86,Common,Closed
73,4803,Education,37438.42,4.31,2024-05-18,2025-10-07,667.33,51127.98,Policy,Closed
74,3425,Mortgage,15594.82,10.85,2023-08-19,2029-06-17,545.0,33328.85,Happen,Pending
75,3037,Mortgage,16071.54,4.75,2020-10-06,2028-04-23,924.52,1784.65,Raise,Closed
76,1062,Payday,38572.37,14.88,2021-04-13,2030-04-24,1408.56,16959.98,Idea,Approved
77,2373,Home,37149.31,10.85,2024-08-19,2026-01-08,1097.91,44823.37,Factor,Closed
78,3105,Car,38193.68,12.52,2020-11-27,2026-02-22,742.05,2961.89,Next,Closed
79,1341,Business,28158.26,3.4,2024-03-02,2028-12-05,1412.51,30643.74,City,Rejected
80,2484,Business,12246.96,3.86,2024-12-30,2028-04-11,1936.52,3916.03,Myself,Defaulted
81,326,Car,8799.85,7.61,2025-09-05,2026-09-02,563.74,25859.24,Behavior,Approved
82,4278,Personal,40450.34,13.97,2021-05-05,2028-04-30,258.02,35440.71,Your,Pending
83,4864,Mortgage,5496.78,10.14,2025-08-20,2026-07-19,826.01,23024.11,Music,Rejected
84,225,Payday,47754.79,12.25,2023-02-22,2025-10-21,394.9,31347.36,Natural,Approved
85,3812,Mortgage,38474.28,9.56,2022-09-01,2026-07-08,851.67,31494.45,Nearly,Rejected
86,4048,Education,18211.64,13.15,2022-11-06,2027-12-03,1079.44,1552.38,Talk,Defaulted
87,1273,Payday,28198.66,8.97,2024-04-08,2030-03-25,301.79,37707.96,Focus,Closed
88,3827,Home,9581.01,5.37,2024-12-11,2026-09-08,1938.74,27032.65,Deal,Approved
89,3250,Car,30747.75,8.92,2022-05-13,2027-07-28,518.69,31536.54,Sea,Defaulted
90,1910,Home,42122.96,10.47,2025-01-26,2028-10-24,1944.68,20361.71,Everyone,Pending
91,3677,Education,37256.01,8.89,2021-09-02,2026-06-27,1080.17,46315.65,Most,Rejected
92,2428,Education,25868.51,10.74,2024-07-05,2030-02-05,702.73,15059.14,Activity,Defaulted
93,467,Home,25159.83,12.15,2022-01-26,2028-10-05,641.53,50151.65,A,Closed
94,4711,Payday,46141.48,9.38,2021-08-01,2025-10-05,1074.24,19974.69,Table,Rejected
95,2335,Home,16829.39,12.31,2021-10-02,2027-11-18,1068.55,17659.05,Answer,Rejected
96,4176,Education,30337.12,3.88,2024-04-24,2026-12-04,1594.78,22511.98,Race,Rejected
97,2853,Payday,42452.95,12.68,2025-06-13,2029-07-22,936.43,16977.24,Yourself,Defaulted
98,4364,Education,24539.91,14.64,2024-10-14,2026-01-25,1171.24,51404.51,Yet,Rejected
99,4719,Personal,13326.53,6.88,2025-02-23,2030-02-25,469.31,5603.23,Wear,Closed
100,2106,Home,41575.9,11.77,2024-03-07,2030-08-12,837.93,41979.2,Fast,Rejected
101,2829,Business,40610.75,6.08,2023-12-24,2027-07-13,1656.63,9379.18,Down,Closed
102,4253,Business,46923.07,3.21,2023-09-07,2028-05-06,1091.13,20175.32,Age,Closed
103,2561,Home,30902.48,6.26,2021-06-05,2029-12-16,806.52,55514.45,Thank,Approved
104,4250,Car,29623.12,13.0,2025-03-05,2030-03-10,946.33,19663.79,Fly,Pending
105,3997,Business,47053.3,3.63,2022-02-25,2026-03-04,1832.5,53414.13,Between,Approved
106,1514,Home,40556.9,5.58,2022-05-29,2026-11-14,412.69,54283.51,Over,Pending
107,4083,Education,35484.78,5.74,2021-11-22,2026-10-17,1850.9,23194.39,Or,Defaulted
108,1939,Car,41530.86,9.97,2020-10-14,2026-02-14,1383.1,21293.97,Moment,Approved
109,3015,Mortgage,9753.77,3.38,2020-10-23,2028-10-13,1292.28,3935.31,Though,Approved
110,4902,Personal,23298.96,10.53,2023-03-01,2026-08-26,1729.71,48726.25,Popular,Rejected
111,895,Education,14264.9,4.1,2022-06-03,2028-01-23,1313.46,33221.46,Morning,Rejected
112,4830,Education,8178.57,5.56,2024-11-01,2027-10-14,185.15,50816.41,Major,Rejected
113,2348,Personal,31855.41,7.58,2023-06-28,2028-04-28,526.56,5522.06,Lot,Rejected
114,2020,Mortgage,43227.03,4.15,2022-02-19,2029-08-26,1083.29,25096.35,Behavior,Defaulted
115,2137,Car,20344.32,3.17,2025-03-15,2026-05-26,1039.91,52762.17,Quite,Closed
116,4532,Business,31913.08,9.38,2023-03-08,2026-11-06,1988.6,21251.97,Agent,Defaulted
117,1640,Mortgage,41763.58,9.35,2022-06-10,2028-03-30,472.81,31543.16,Open,Closed
118,1380,Mortgage,43086.74,4.46,2021-09-20,2028-11-17,1886.78,30903.79,Teacher,Approved
119,2953,Payday,24094.26,13.94,2020-10-27,2026-02-01,1694.11,48314.45,Far,Defaulted
120,1796,Personal,36664.84,12.99,2024-08-12,2026-06-20,417.81,51719.64,Onto,Closed
121,1459,Mortgage,39483.84,8.42,2025-03-07,2028-09-30,1475.01,53200.04,Political,Approved
122,2539,Payday,21913.37,4.32,2024-09-17,2030-05-01,375.29,46031.91,Since,Rejected
123,2262,Personal,2871.45,4.49,2021-06-06,2027-10-19,821.95,14105.03,Spring,Approved
124,2379,Education,21003.67,5.18,2021-12-26,2027-08-19,289.81,51680.24,Court,Pending
125,3222,Business,28361.68,10.07,2024-07-15,2027-10-30,1861.01,57311.09,Cut,Approved
126,2886,Payday,16697.71,12.82,2023-01-08,2028-05-08,391.51,11203.88,Represent,Approved
127,1080,Car,45598.22,13.66,2025-03-04,2027-12-20,945.65,44590.63,Recognize,Defaulted
128,2870,Car,21475.02,7.58,2021-07-23,2028-12-08,407.73,14973.65,Pay,Defaulted
129,4656,Mortgage,16482.05,12.1,2023-03-04,2027-01-23,1136.4,30963.59,Owner,Defaulted
130,1827,Payday,40412.75,4.1,2023-09-10,2027-12-29,115.01,26968.82,Effect,Rejected
131,4017,Business,12186.08,9.99,2023-09-13,2027-12-22,1616.56,6355.74,Since,Approved
132,4807,Mortgage,28659.8,9.93,2022-08-29,2027-01-27,748.21,37054.08,Act,Pending
133,4604,Mortgage,45391.85,14.39,2024-08-29,2025-11-09,1267.19,38698.45,Go,Defaulted
134,3674,Education,24145.54,5.14,2021-03-15,2027-01-16,1455.98,56361.68,Husband,Pending
135,4129,Home,15032.0,5.11,2021-04-12,2028-04-24,1712.15,3210.79,Else,Closed
136,1716,Business,20268.08,5.15,2021-01-02,2027-02-14,414.5,20319.61,Forward,Defaulted
137,3474,Mortgage,5348.12,13.7,2022-12-04,2028-08-21,1604.41,44516.14,Wish,Defaulted
138,2125,Home,8659.39,13.07,2021-10-23,2027-07-11,1261.75,39210.8,Arm,Approved
139,1084,Personal,45283.22,5.26,2023-03-25,2028-12-04,313.49,27632.33,Agency,Approved
140,998,Payday,29960.09,13.02,2025-01-09,2030-02-19,1008.75,4080.57,Week,Approved
141,1272,Mortgage,26022.53,7.86,2022-10-09,2027-02-04,124.3,15058.08,Play,Defaulted
142,1641,Home,14353.92,7.14,2022-02-20,2027-01-25,295.22,22903.1,Usually,Pending
143,1666,Education,26173.2,6.6,2023-09-11,2030-09-06,1333.83,26375.14,Product,Rejected
144,22,Personal,42698.38,6.63,2022-12-28,2026-08-01,1411.64,55921.0,Gun,Defaulted
145,3807,Education,40006.54,13.77,2022-05-31,2026-08-08,176.0,5000.42,Area,Pending
146,4042,Home,31926.1,8.4,2023-06-27,2027-02-10,1560.42,52414.58,Walk,Rejected
147,3147,Personal,17535.03,11.12,2024-04-23,2030-03-11,1233.0,38380.9,Choice,Closed
148,2491,Personal,35984.55,7.85,2022-09-05,2027-08-04,672.24,24974.01,Article,Rejected
149,878,Car,28279.96,4.78,2021-11-15,2026-03-16,1176.73,9165.97,Sea,Rejected
150,115,Car,21567.6,7.13,2025-05-25,2029-07-12,1833.93,58369.95,Nearly,Rejected
151,28,Education,4139.46,5.57,2023-11-22,2027-07-21,632.62,23307.29,Election,Defaulted
152,2508,Home,31466.78,9.42,2024-01-23,2027-05-07,602.62,25883.65,Environmental,Closed
153,1818,Payday,35273.99,10.1,2024-08-18,2030-08-08,1782.85,16957.87,Toward,Closed
154,1879,Mortgage,47240.99,13.15,2025-02-24,2029-06-05,525.37,53650.04,Difference,Pending
155,3386,Business,46145.87,12.44,2023-10-09,2030-06-10,442.23,15931.01,Community,Closed
156,4729,Mortgage,30800.74,12.12,2024-06-12,2027-11-27,1112.23,37025.04,Color,Approved
157,2898,Mortgage,15934.79,5.64,2023-10-23,2026-01-03,997.15,2232.48,Reach,Defaulted
158,1035,Home,12918.87,10.25,2020-10-21,2027-09-18,1888.87,58856.52,Power,Pending
159,4469,Home,46335.92,4.4,2021-02-08,2027-10-19,747.97,12233.4,Each,Approved
160,3220,Business,4293.06,14.95,2022-06-26,2025-12-11,295.7,43707.44,Know,Pending
161,2107,Personal,27783.96,6.48,2024-10-24,2029-11-30,958.06,33116.35,Cultural,Pending
162,3366,Personal,46831.47,12.08,2024-03-27,2027-01-12,950.91,44925.25,Plan,Closed
163,2308,Payday,1326.51,9.06,2021-06-21,2027-09-14,108.94,15095.26,Respond,Pending
164,1560,Mortgage,27860.45,10.25,2024-07-15,2027-05-29,602.61,41403.59,Three,Approved
165,2610,Car,25137.2,5.3,2020-10-01,2026-12-29,1854.68,28262.49,Attack,Pending
166,1084,Education,39857.42,3.61,2025-01-04,2028-02-17,843.23,23825.45,North,Pending
167,1845,Personal,13457.91,14.76,2021-08-20,2030-01-28,248.94,26993.43,Section,Pending
168,2171,Home,6650.36,4.07,2022-02-25,2029-06-19,983.01,54423.62,Brother,Defaulted
169,143,Car,32505.75,4.13,2021-11-29,2028-12-19,233.04,43828.22,Court,Defaulted
170,978,Mortgage,25840.84,3.34,2024-10-07,2028-02-03,1105.24,32532.77,Stand,Rejected
171,538,Car,3905.25,13.04,2025-06-17,2029-10-26,1246.43,28660.51,Music,Closed
172,3658,Payday,20460.83,11.57,2024-12-31,2026-07-10,229.67,41125.13,They,Closed
173,2634,Personal,47804.79,4.2,2023-12-26,2026-09-28,817.32,25703.68,Site,Approved
174,1876,Car,27991.89,3.52,2022-01-12,2029-06-04,1031.87,4206.78,Appear,Closed
175,2922,Home,34390.36,5.37,2024-04-17,2028-10-14,595.64,45431.17,Service,Defaulted
176,4647,Car,47246.77,3.48,2023-11-11,2026-09-15,1312.8,14805.73,Than,Approved
177,1903,Mortgage,11474.71,7.38,2021-06-26,2026-11-22,269.62,10767.19,Run,Rejected
178,4860,Car,7528.23,3.93,2023-10-06,2029-06-25,1796.62,41181.28,Enjoy,Approved
179,4267,Mortgage,33366.8,4.13,2024-08-18,2028-04-30,291.05,20969.35,Both,Approved
180,351,Business,21821.29,12.81,2021-01-23,2026-03-09,1186.07,45785.62,Top,Defaulted
181,4910,Car,17239.83,12.86,2025-01-11,2027-03-17,1214.4,20054.26,Operation,Rejected
182,2300,Education,8580.42,6.52,2022-04-30,2027-05-31,1133.34,22657.12,Reduce,Approved
183,1948,Car,19638.99,11.52,2021-03-20,2029-12-04,1477.02,57318.47,Everything,Approved
184,4088,Home,2497.89,3.55,2024-09-02,2029-01-08,948.26,46150.53,That,Closed
185,4563,Payday,22138.52,12.22,2025-08-26,2028-02-26,1931.76,51989.64,Sure,Closed
186,4590,Payday,24999.38,3.61,2022-01-29,2026-08-12,1033.79,29994.21,Whom,Pending
187,1840,Personal,35703.67,10.11,2021-05-02,2029-02-14,853.05,35313.3,Across,Closed
188,2581,Personal,20039.19,9.24,2022-07-08,2027-09-02,702.73,14289.11,President,Approved
189,3045,Mortgage,49891.97,12.37,2024-03-11,2025-10-05,409.97,41135.01,Year,Pending
190,408,Business,12559.43,11.6,2021-05-16,2028-06-01,314.04,57233.59,Field,Closed
191,3681,Home,9650.33,5.2,2021-01-11,2026-10-02,1311.63,5350.38,Financial,Approved
192,279,Car,32761.57,14.33,2022-06-14,2027-10-27,1326.01,34913.04,Again,Rejected
193,1661,Education,37816.99,13.64,2021-07-21,2026-03-31,1533.76,29943.17,Nice,Approved
194,615,Business,3596.04,12.74,2021-02-13,2026-10-16,1164.16,9383.35,Attorney,Defaulted
195,990,Payday,20124.39,14.7,2022-07-16,2030-05-30,1474.69,30814.1,Voice,Pending
196,660,Personal,1064.28,14.46,2021-06-12,2028-02-18,285.81,56411.95,Everything,Rejected
197,718,Payday,35657.25,13.25,2024-04-23,2028-06-19,331.85,5126.25,Law,Approved
198,2878,Payday,48315.97,13.96,2022-12-05,2029-11-28,909.34,3542.95,Attack,Rejected
199,1704,Education,2562.51,5.68,2024-01-30,2026-07-18,1606.53,19587.48,Certain,Approved
200,1819,Business,16832.57,3.24,2024-04-27,2027-10-15,201.18,41001.1,Job,Defaulted
201,464,Payday,23051.87,6.5,2023-03-05,2025-10-07,547.57,2108.72,Outside,Defaulted
202,3861,Education,4296.68,7.6,2023-04-25,2027-12-31,1553.6,49008.61,Side,Defaulted
203,2306,Personal,36496.41,14.83,2021-10-01,2025-12-21,1666.27,42170.1,That,Closed
204,4444,Mortgage,22524.95,8.16,2025-02-27,2027-07-15,245.31,53442.63,Court,Approved
205,1471,Mortgage,5184.97,14.18,2023-03-20,2028-08-04,399.38,6477.23,Play,Pending
206,4481,Payday,27641.84,10.59,2024-04-06,2026-02-07,1992.37,36604.0,Everybody,Closed
207,3021,Payday,9971.88,4.12,2024-04-23,2028-09-19,334.56,45212.71,Ever,Rejected
208,2048,Payday,26354.47,11.66,2022-02-19,2029-12-17,1468.46,21818.17,Value,Pending
209,1192,Education,39816.75,9.57,2020-11-07,2026-12-31,1760.89,58350.84,Image,Approved
210,366,Education,14714.15,8.3,2020-11-28,2026-03-22,108.75,27925.51,Heart,Closed
211,1909,Car,14243.47,8.14,2023-08-25,2026-03-20,1146.78,3606.32,Size,Pending
212,570,Car,46347.24,9.44,2022-07-25,2027-07-16,1428.41,46065.95,Surface,Closed
213,2855,Mortgage,25596.11,13.93,2021-12-10,2029-10-01,1099.65,37930.04,Respond,Defaulted
214,4768,Mortgage,28162.43,5.74,2024-06-20,2025-11-27,1973.96,36380.85,Process,Closed
215,1617,Education,22157.26,5.16,2022-02-14,2026-01-09,1618.72,5713.55,Just,Pending
216,1876,Personal,17452.09,5.36,2022-11-15,2030-07-28,1032.57,33782.81,Stand,Rejected
217,2473,Home,25479.43,9.12,2022-12-24,2026-12-11,130.57,34669.87,Might,Rejected
218,272,Payday,47179.79,4.13,2022-03-04,2030-06-05,423.8,7942.31,Today,Closed
219,4128,Home,16941.2,6.57,2021-01-30,2028-04-10,268.57,19678.31,Line,Defaulted
220,1711,Mortgage,38273.76,10.87,2021-02-19,2030-02-28,1138.89,14870.88,Return,Defaulted
221,2763,Personal,47899.97,14.5,2025-07-20,2029-10-17,697.67,51992.75,Compare,Defaulted
222,1316,Personal,42726.65,5.55,2023-11-08,2029-03-08,1339.54,39238.15,Dark,Approved
223,3448,Mortgage,15811.14,14.8,2024-09-11,2027-05-16,586.85,52491.01,Including,Approved
224,3844,Home,17587.78,8.76,2022-04-21,2030-04-27,1791.8,27691.62,Seven,Approved
225,2769,Payday,12283.04,8.48,2022-02-19,2028-05-09,675.98,38022.17,Myself,Rejected
226,997,Personal,15172.33,9.43,2024-06-08,2029-03-13,1827.97,44097.55,Sport,Rejected
227,3734,Car,31348.78,4.09,2023-01-20,2026-07-22,689.56,57663.07,Practice,Closed
228,2938,Business,45196.72,14.3,2021-06-12,2027-04-22,1823.86,2920.93,Discussion,Defaulted
229,4031,Mortgage,25345.0,10.56,2024-07-03,2028-08-24,159.03,19353.02,Sort,Closed
230,4815,Home,6450.05,8.03,2021-08-27,2029-09-06,829.55,9143.18,Central,Rejected
231,145,Education,7600.23,14.71,2022-10-01,2029-03-05,1012.5,12721.39,Than,Pending
232,3883,Education,35919.11,13.17,2023-02-28,2027-07-08,907.49,26829.19,Out,Closed
233,212,Home,38457.11,8.36,2021-03-18,2029-12-07,233.97,8052.54,Kitchen,Defaulted
234,1179,Car,22097.04,4.57,2022-09-17,2025-12-28,709.15,1624.57,Magazine,Defaulted
235,4442,Home,11984.38,13.44,2024-08-06,2030-06-12,212.09,41302.28,Outside,Rejected
236,3551,Business,16757.52,4.56,2020-10-28,2028-03-18,644.39,52556.67,Computer,Pending
237,4386,Home,15224.32,4.58,2022-12-03,2025-10-12,132.33,45086.78,Clearly,Closed
238,3874,Home,7774.14,9.2,2020-12-11,2030-04-10,1705.61,32340.64,Usually,Defaulted
239,3511,Personal,37880.4,11.01,2022-06-17,2029-09-01,1700.56,5610.83,Simply,Pending
240,3685,Car,42820.07,14.55,2023-11-24,2029-04-10,487.27,22878.99,Include,Rejected
241,4354,Education,43225.78,5.92,2025-07-17,2030-05-26,1338.08,48758.07,Radio,Closed
242,3309,Payday,28733.43,13.74,2022-12-04,2028-08-23,1207.79,6344.03,Each,Defaulted
243,2047,Payday,11261.51,4.01,2024-03-02,2029-08-02,1811.53,15111.75,Room,Closed
244,610,Education,26577.95,8.39,2022-03-04,2025-12-25,1288.22,6795.32,Cost,Defaulted
245,2387,Personal,42898.48,3.46,2023-03-30,2028-05-06,1999.35,44405.01,Benefit,Closed
246,2238,Car,10726.94,11.75,2025-06-11,2030-03-27,1213.03,25309.06,Hard,Rejected
247,4756,Education,15622.25,11.89,2021-03-26,2026-07-07,880.15,53932.85,Too,Closed
248,2268,Education,37619.26,10.77,2025-09-06,2028-09-03,199.59,43275.86,State,Approved
249,3517,Home,12192.56,8.88,2023-03-04,2029-09-12,1639.47,34115.2,Poor,Pending
250,4997,Home,22799.16,4.65,2023-08-07,2028-02-04,1924.27,33941.83,Much,Pending
251,1918,Car,3488.48,11.78,2021-02-17,2030-05-28,708.23,27456.42,Sense,Closed
252,4524,Home,41361.38,8.46,2022-12-29,2025-12-20,778.83,19561.39,Need,Closed
253,3716,Personal,4862.26,3.79,2023-04-29,2026-11-16,1213.41,6775.83,Second,Pending
254,4178,Mortgage,17078.63,8.73,2020-11-13,2029-04-05,1135.25,35978.07,Believe,Approved
255,1831,Payday,35467.91,9.9,2022-08-02,2028-12-16,1369.52,32110.59,Century,Rejected
256,4343,Mortgage,19960.16,3.66,2022-04-18,2029-09-07,1437.77,57323.87,Modern,Rejected
257,3932,Mortgage,11667.4,6.63,2025-05-09,2027-04-03,1934.91,55552.21,Into,Rejected
258,2476,Car,30123.48,3.16,2025-01-24,2030-02-08,648.3,39298.88,For,Defaulted
259,2082,Education,7256.35,13.58,2025-07-29,2030-05-08,1410.27,54463.68,Billion,Rejected
260,3077,Education,5038.85,14.76,2022-09-13,2026-10-18,638.9,16426.25,In,Rejected
261,4290,Education,10874.56,5.37,2021-01-21,2026-09-16,1289.18,23434.1,Sell,Approved
262,3885,Payday,2643.15,14.15,2023-05-11,2030-04-20,112.44,38942.91,Color,Approved
263,771,Home,10344.3,6.08,2021-08-05,2030-07-17,1481.7,4830.92,Doctor,Defaulted
264,4735,Payday,45507.9,12.45,2023-11-01,2029-01-19,648.91,15436.89,Father,Rejected
265,1165,Education,38975.46,11.87,2021-10-01,2030-07-04,1068.92,51534.92,Practice,Approved
266,303,Home,20232.47,11.37,2024-09-30,2026-09-09,265.91,48440.12,Become,Rejected
267,4951,Personal,34007.82,11.45,2021-11-07,2026-10-03,811.84,46365.94,Data,Approved
268,4767,Car,19615.29,5.57,2021-03-06,2027-03-07,156.53,33473.3,Learn,Approved
269,3759,Car,11499.8,7.98,2022-05-22,2026-04-10,1274.12,37773.01,Strong,Defaulted
270,398,Home,24249.3,11.61,2023-12-06,2030-01-12,1346.29,32609.3,Tell,Approved
271,809,Mortgage,25953.61,11.03,2024-07-04,2030-08-06,528.38,55165.22,Their,Closed
272,4764,Home,25581.59,9.43,2022-11-27,2028-07-11,1879.8,18085.01,Kitchen,Closed
273,2297,Home,32155.79,10.1,2023-02-17,2028-07-01,1753.82,50281.26,Bill,Rejected
274,1906,Mortgage,43725.85,3.08,2022-03-26,2027-07-31,547.16,37322.88,Training,Pending
275,2269,Education,41200.4,3.02,2023-07-05,2027-01-19,938.67,10225.17,Media,Closed
276,2420,Education,30443.85,7.3,2025-02-08,2026-07-25,678.9,11141.75,Mind,Closed
277,4528,Personal,12589.86,5.86,2025-05-18,2029-07-05,1118.65,8819.96,Door,Defaulted
278,4254,Car,14763.26,6.52,2022-08-11,2030-07-01,447.68,49802.92,Language,Approved
279,4074,Mortgage,46381.37,7.85,2021-01-19,2026-03-16,1587.47,44005.13,Bag,Closed
280,2153,Car,31601.26,7.86,2024-09-15,2029-06-02,940.52,52077.36,Enter,Pending
281,4449,Personal,24148.36,12.45,2022-08-31,2026-05-07,1488.3,27578.05,Themselves,Pending
